EventNum,Polarization,Area,CalConst,Baseline,QMeterNum,QMeterName,MagCurrent,EIPFreq,HPFreq,uWaveFreq,uWavePower,FMAmplitude,FMOffset,ScanSweeps,ScanSteps,ScanFreq,RFFreq,RFMod,RFPower,YaleGain,DCLevel,He3Press,He3Temp,He4Temp,He4Press,SepFlow,MainFlow,MagLevel,RFVolts,LN2Level,VacPress,Comment,TopChip,BottomChip,CarbonGlass,Collector
1542331348,-1.835374E+1,7.720998E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331349,4.803275E+0,-2.020628E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331350,4.803311E+0,-2.020643E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331351,4.749881E+0,-1.998166E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331352,4.763220E+0,-2.003778E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331353,4.747476E+0,-1.997154E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331354,4.743831E+0,-1.995621E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331356,4.785030E+0,-2.012953E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331357,4.761643E+0,-2.003114E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542331358,4.790292E+0,-2.015166E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
