EventNum,Polarization,Area,CalConst,Baseline,QMeterNum,QMeterName,MagCurrent,EIPFreq,HPFreq,uWaveFreq,uWavePower,FMAmplitude,FMOffset,ScanSweeps,ScanSteps,ScanFreq,RFFreq,RFMod,RFPower,YaleGain,DCLevel,He3Press,He3Temp,He4Temp,He4Press,SepFlow,MainFlow,MagLevel,RFVolts,LN2Level,VacPress,Comment,TopChip,BottomChip,CarbonGlass,Collector
1542329206,1.410361E+1,-5.933065E+0,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329207,4.485440E-2,-1.886922E-2,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329209,2.389114E-2,-1.005045E-2,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329210,8.584478E-3,-3.611293E-3,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329211,3.633729E-2,-1.528627E-2,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329212,-5.646314E-3,2.375275E-3,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329213,5.033239E-2,-2.117368E-2,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329215,-8.119338E-3,3.415620E-3,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329216,4.517557E-2,-1.900433E-2,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
1542329217,4.916473E-2,-2.068248E-2,-2.377120E+0,1542328656,2,Top Proton,0.000000,,,,,,,10,500,15287,224.370,200,275,0,,,,NaN,,,,,,,,,,,,
